University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country
Texas State University,United States,texas state university,https://openalex.org/I13511017,Texas State University,[],US,United States
Texas Tech University,United States,texas tech university,https://openalex.org/I12315562,Texas Tech University,"[""Texas Tech""]",US,United States
Tezpur University,India,tezpur university,https://openalex.org/I126601174,Tezpur University,[],IN,India
The Open University,United Kingdom,the open university,https://openalex.org/I204136569,The Open University,[],GB,United Kingdom
Thomas Jefferson University,United States,thomas jefferson university,https://openalex.org/I149251103,Thomas Jefferson University,[],US,United States
Tianjin Medical University,China,tianjin medical university,https://openalex.org/I5740404,Tianjin Medical University,"[""Ti\u0101nj\u012bn Y\u012bk\u0113 D\u00e0xu\u00e9""]",CN,China
Tianjin Normal University,China,tianjin normal university,https://openalex.org/I15062923,Tianjin Normal University,[],CN,China
Tianjin Polytechnic University,China,tianjin polytechnic university,https://openalex.org/I198091727,Tianjin Polytechnic University,[],CN,China
Tianjin University,China,tianjin university,https://openalex.org/I162868743,Tianjin University,"[""Peiyang University""]",CN,China
Tianjin University of Science and Technology,China,tianjin university of science and technology,https://openalex.org/I132369690,Tianjin University of Science and Technology,"[""Ti\u0101nj\u012bn K\u0113j\u00ec D\u00e0xu\u00e9""]",CN,China
Tianjin University of Technology,China,tianjin university of technology,https://openalex.org/I136765683,Tianjin University of Technology,[],CN,China
Tilburg University,Netherlands,tilburg university,https://openalex.org/I193700539,Tilburg University,[],NL,Netherlands
Toho University,Japan,toho university,https://openalex.org/I129634264,Toho University,"[""T\u014dh\u014d Daigaku""]",JP,Japan
Tohoku University,Japan,tohoku university,https://openalex.org/I201537933,Tohoku University,"[""T\u014dhoku daigaku""]",JP,Japan
Tokai University,Japan,tokai university,https://openalex.org/I1314466530,Tokai University,"[""T\u014dkai Daigaku""]",JP,Japan
Tokushima University,Japan,tokushima university,https://openalex.org/I922474255,Tokushima University,"[""Tokushima Daigaku"", ""University of Tokushima""]",JP,Japan
Tokyo Institute of Technology,Japan,tokyo institute of technology,https://openalex.org/I114531698,Tokyo Institute of Technology,"[""Tokyo Tech"", ""T\u014dky\u014d K\u014dgy\u014d Daigaku"", ""Tokodai""]",JP,Japan
Tokyo Medical and Dental University,Japan,tokyo medical and dental university,https://openalex.org/I125602781,Tokyo Medical and Dental University,"[""T\u014dky\u014d ika shika daigaku""]",JP,Japan
Tokyo Metropolitan University,Japan,tokyo metropolitan university,https://openalex.org/I69740276,Tokyo Metropolitan University,"[""Shuto Daigaku T\u014dky\u014d""]",JP,Japan
Tokyo University of Agriculture and Technology,Japan,tokyo university of agriculture and technology,https://openalex.org/I92614990,Tokyo University of Agriculture and Technology,"[""T\u014dky\u014d N\u014dk\u014d Daigaku""]",JP,Japan
Tokyo University of Science,Japan,tokyo university of science,https://openalex.org/I161296585,Tokyo University of Science,"[""T\u014dky\u014d Rika Daigaku"", ""Science University of Tokyo""]",JP,Japan
