University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country,keep,comment
Czech Technical University in Prague,Czech Republic,czech technical university in prague,https://openalex.org/I44504214,Czech Technical University in Prague,"[""\u010cesk\u00e9 vysok\u00e9 u\u010den\u00ed technick\u00e9 v Praze""]",CZ,Czechia,TRUE,
Czech University of Life Sciences Prague,Czech Republic,czech university of life sciences prague,https://openalex.org/I205984670,Czech University of Life Sciences Prague,"[""\u010cesk\u00e1 zem\u011bd\u011blsk\u00e1 univerzita v Praze"", ""Czech University of Agriculture in Prague""]",CZ,Czechia,TRUE,
Eberhard Karls University of Tübingen,Germany,eberhard karls university of tubingen,https://openalex.org/I8087733,University of Tübingen,NA,DE,Germany,TRUE,
Eidgenössische Technische Hochschule Zürich,Switzerland,eidgenossische technische hochschule zurich,https://openalex.org/I35440088,ETH Zurich,NA,CH,Switzerland,TRUE,
Federal University of Mato Grosso,Brazil,federal university of mato grosso,https://openalex.org/I32725510,Universidade Federal de Mato Grosso,NA,BR,Brazil,TRUE,
Federal University of Pelotas,Brazil,federal university of pelotas,https://openalex.org/I169248161,Universidade Federal de Pelotas,NA,BR,Brazil,TRUE,
Federal University of Santa Maria,Brazil,federal university of santa maria,https://openalex.org/I33501960,Universidade Federal de Santa Maria,NA,BR,Brazil,TRUE,
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,friedrich-alexander-universitat erlangen-nurnberg,https://openalex.org/I181369854,University of Erlangen-Nuremberg,NA,DE,Germany,TRUE,
Gabriele D'Annunzio University,Italy,gabriele d'annunzio university,https://openalex.org/I39387349,University of Chieti-Pescara,NA,IT,Italy,TRUE,"simply a different name for the same thing, see: https://en.wikipedia.org/wiki/D%27Annunzio_University_of_Chieti%E2%80%93Pescara"
Georg-August-Universität Göttingen,Germany,georg-august-universitat gottingen,https://openalex.org/I74656192,University of Göttingen,NA,DE,Germany,TRUE,
Gottfried Wilhelm Leibniz Universität Hannover,Germany,gottfried wilhelm leibniz universitat hannover,https://openalex.org/I114112103,Leibniz University Hannover,NA,DE,Germany,TRUE,
Gustave Eiffel University,France,gustave eiffel university,https://openalex.org/I4210154111,Université Gustave Eiffel,NA,FR,France,TRUE,
Heidelberg University,Germany,heidelberg university,https://openalex.org/I85384741,Heidelberg University,"[""Heidelberg College""]",US,United States,FALSE,
Heriot-Watt University,United Kingdom,heriot-watt university,https://openalex.org/I4210085930,Heriot-Watt University,[],MY,Malaysia,FALSE,
HSE University,Russia,hse university,https://openalex.org/I118501908,National Research University Higher School of Economics,NA,RU,Russia,TRUE,
"Icahn School of Medicine, Mount Sinai",United States,icahn school of medicine mount sinai,https://openalex.org/I98704320,Icahn School of Medicine at Mount Sinai,NA,US,United States,TRUE,
Indian Institute of Science,India,indian institute of science,https://openalex.org/I59270414,Indian Institute of Science Bangalore,NA,IN,India,TRUE,
Indian Institute of Technology (Indian School of Mines),India,indian institute of technology (indian school of mines),https://openalex.org/I189109744,Indian Institute of Technology Dhanbad,NA,IN,India,TRUE,
Institut National Polytechnique de Toulouse,France,institut national polytechnique de toulouse,https://openalex.org/I205747304,National Polytechnic Institute of Toulouse,NA,FR,France,TRUE,
Islamic Azad University Science & Research Tehran,Iran,islamic azad university science and research tehran,https://openalex.org/I155419210,"Islamic Azad University, Science and Research Branch",NA,IR,Iran,TRUE,
JiLin Agriculture University,China,jilin agriculture university,https://openalex.org/I4210152006,Jilin Agricultural University,NA,CN,China,TRUE,
Jinan University,China,jinan university,https://openalex.org/I4210146271,Jinan University,[],LB,Lebanon,FALSE,
Johannes Gutenberg University Mainz,Germany,johannes gutenberg university mainz,https://openalex.org/I197323543,Johannes Gutenberg University of Mainz,NA,DE,Germany,TRUE,
Johannes Kepler University Linz,Austria,johannes kepler university linz,https://openalex.org/I121883995,Johannes Kepler University of Linz,NA,AT,Austria,TRUE,
Julius-Maximilians-Universität Würzburg,Germany,julius-maximilians-universitat wurzburg,https://openalex.org/I25974101,University of Würzburg,NA,DE,Germany,TRUE,
Justus Liebig University Giessen,Germany,justus liebig university giessen,https://openalex.org/I200763008,University of Giessen,NA,DE,Germany,TRUE,
K.N. Toosi University of Technology,Iran,k.n. toosi university of technology,https://openalex.org/I80543232,K.N.Toosi University of Technology,NA,IR,Iran,TRUE,
Karolinska Institutet,Sweden,karolinska institutet,https://openalex.org/I28166907,Karolinska Institute,NA,SE,Sweden,TRUE,
