id,issn_l,issn,pissn,eissn,display_name,journal_title,publisher.x,publisher.y
https://openalex.org/V4210235137,2655-8564,"[""2655-8564"", ""2685-9432""]",2655-8564,2685-9432,International Journal of Applied Sciences and Smart Technologies,International Journal of Applied Sciences and Smart Technologies,Sanata Dharma University,Universitas Sanata Dharma
https://openalex.org/V4210237779,2598-5167,"[""2598-5167"", ""2597-8713""]",2598-5167,2597-8713,Agricultural Science,Agricultural Science,Universitas Merdeka Surabaya,"Faculty of Agriculture, Merdeka University Surabaya"
https://openalex.org/V189387231,1235-4481,null,NA,1459-9465,Nordic Journal of African Studies,Nordic Journal of African Studies,NA,Nordic Africa Research Network
https://openalex.org/V952371400,2342-2009,null,NA,2342-2009,Fafnir,Fafnir,NA,Finnish Society for Science Fiction and Fantasy Research
https://openalex.org/V2736430664,1854-3839,null,1854-3839,NA,Zbornik Znanstvenih Razprav,Zbornik Znanstvenih Razprav,NA,"University of Ljubljana, Faculty of Law"
https://openalex.org/V2736767098,2343-9742,null,2343-9742,2343-9750,Global Economic Observer,Global Economic Observer,NA,Nicolae Titulescu University
https://openalex.org/V2736862706,1659-3057,null,1659-3057,2215-3845,En Torno a la Prevención,En Torno a la Prevención,NA,Comisión Nacional de Prevención de Riesgos y Atención de Emergencias
https://openalex.org/V2737018391,2314-1530,null,2314-2138,2314-1530,Debate Universitario,Debate Universitario,NA,Universidad Abierta Interamericana
https://openalex.org/V2737713948,1791-261X,null,1791-261X,1792-3999,"Review of Science, Mathematics and ICT Education","Review of Science, Mathematics and ICT Education",NA,Metaichmio Publications
https://openalex.org/V2737750606,2300-0066,null,2300-0066,2577-0314,Studia Gilsoniana,Studia Gilsoniana,NA,International Étienne Gilson Society
https://openalex.org/V2737889003,2036-2927,null,2036-2927,NA,S&F_scienzaefilosofia.it,S&F_scienzaefilosofia.it,NA,S&F_scienzaefilosofia.it
https://openalex.org/V2737892518,1856-1594,null,1856-1594,NA,Revista Orbis,Revista Orbis,NA,Fundación Unamuno
https://openalex.org/V2737950292,1843-5610,null,NA,1843-5610,Journal of Identity and Migration Studies,Journal of Identity and Migration Studies,NA,"University of Oradea, Research Centre on Identity and Migration Studies-RCIMI"
https://openalex.org/V2738445249,1870-0128,null,NA,2255-3371,Revista Vectores de Investigación,Revista Vectores de Investigación,NA,Centro de Investigación de Estudios Comparados de América Latina
https://openalex.org/V2738809131,2282-7757,null,2282-7757,2282-7765,Science & Philosophy,Science & Philosophy,NA,Accademia Piceno Aprutina dei Velati
https://openalex.org/V2739230911,2300-1690,null,NA,2300-1690,Władza Sądzenia,Władza Sądzenia,NA,Katedra Socjologii Polityki i Moralności Wydział Ekonomiczno-Socjologiczny Uniwersytet Łódzki
https://openalex.org/V2739325531,1655-1524,null,1655-1524,2012-0796,Social Science Diliman,Social Science Diliman,NA,University of the Philippines
https://openalex.org/V4210169646,2783-6207,"[""2783-6207""]",NA,2783-6207,Information & Media,Information & Media,Vilnius University,Vilnius University Press
https://openalex.org/V2764707219,2306-4285,"[""2414-0384"", ""2306-4285""]",2306-4285,2414-1518,Galician Medical Journal,Galician Medical Journal,Ivano-Frankivsk National Medical University,Ivano-Frankivsk National Medical University
https://openalex.org/V4210183622,2464-8914,"[""2464-8914""]",NA,2464-8914,Italian Review of Legal History,Italian Review of Legal History,Milano University Press,Università degli Studi di Milano
https://openalex.org/V4210188934,2251-600X,"[""2251-600X"", ""2423-5733""]",2251-600X,2423-5733,مواد پیشرفته در مهندسی,Journal of Advanced Materials in Engineering,NA,Isfahan University of Technology
https://openalex.org/V4210193085,2710-7922,"[""2710-8619"", ""2710-7922""]",2710-7922,2710-8619,Altralang journal,Altralang Journal,NA,University of Oran 2 Mohamed Ben Ahmed
https://openalex.org/V4210227992,0854-1418,"[""0854-1418""]",0854-1418,2503-426X,Eksplorium,Eksplorium: Buletin Pusat Pengembangan Bahan Galian Nuklir,National Atomic Energy Agency of Indonesia (BATAN),Center for Nuclear Minerals Technology
https://openalex.org/V4210228298,0216-9142,"[""0216-9142""]",0216-9142,2503-3514,At Ta'dib (Ponorogo),At-Ta'dib,Universitas Darussalam Gontor,Universitas Darussalam Gontor
https://openalex.org/V4210229340,2448-5403,"[""2448-5403""]",NA,2448-5403,Denarius,Denarius,Universidad Autonoma Metropolitana,Universidad Autónoma Metropolitana
https://openalex.org/V4210233664,2252-3820,"[""2252-3820""]",2252-3820,2579-3268,Jurnal Social Economic of Agriculture,Jurnal Social Economic of Agriculture,Tanjungpura University,Jurusan Sosial Ekonomi Pertanian Universitas Tanjungpura
https://openalex.org/V4210235584,2549-4813,"[""2549-4813""]",2549-4813,2549-368X,IJ-ATL (International Journal of Arabic Teaching and Learning),IJ-ATL (International Journal of Arabic Teaching and Learning),Universitas Nurul Jadid,Nurul Jadid University
https://openalex.org/V4210207595,2686-8075,"[""2686-8075""]",NA,2686-8075,Aktualʹnye voprosy požarnoj bezopasnosti,Актуальные вопросы пожарной безопасности,FGBU VNIIPO of EMERCOM of Russia,"All-Russian Research Institute for Fire Protection of the Ministry of the Russian Federation for Civil Defence, Emergencies and Elimination of Consequences of Natural Disasters (FGBU VNIIPO EMERCOM of Russia)."
https://openalex.org/V4210208725,2215-2806,"[""2215-2873"", ""2215-2806""]",2215-2806,2215-2873,Anuario,Anuario (Centro de Investigación y Estudios Políticos),NA,Universidad de Costa Rica
https://openalex.org/V2736970742,2008-7713,null,2008-7713,2423-4281,Būm/shināsī-i kishāvarzī,بوم شناسی کشاورزی,NA,Ferdowsi University of Mashhad
https://openalex.org/V2737019233,2476-9568,null,2476-9568,NA,Scientific Pinisi,Scientific Pinisi,NA,Universitas Negeri Makassar
https://openalex.org/V2737301719,2236-3165,"[""2236-3165""]",NA,2236-3165,Eventos Pedagógicos,Eventos Pedagógicos,Universidade do Estado do Mato Grosso - UNEMAT,Universidade do Estado de Mato Grosso
https://openalex.org/V2737434420,2067-8177,null,NA,2067-8177,"Brand Research in Accounting, Negociation and Distribution","Brand Research in Accounting, Negociation and Distribution",NA,EduSoft Publishing Bacau
https://openalex.org/V2737993871,1807-8850,null,1807-8850,2318-2083,UNILUS Ensino e Pesquisa,UNILUS Ensino e Pesquisa,NA,Frederico Kauffmann Barbosa
